dataset,origin,id,doc,summ,model_name,cut,error_type,annotated_span
CLIFF,xsum,36591829,"Morata, 23, who is playing for Spain at Euro 2016, joined Juventus in 2014, after four seasons with Real. The terms of his move to Italy included an option for Real to buy him back, with the fee reported to be up to 30m euros (?¡°o23m). Morata, previously reported to be a target for Arsenal and Chelsea, has scored three times for Spain in France. He scored 27 goals in two years for Juventus, winning two Serie A titles and two Coppa Italias. Morata played in back-to-back Champions League finals, having appeared as a substitute in Real's 2014 win and scoring in Juventus'3-1 defeat by Barcelona in 2015. The 6ft 3in striker came through the ranks at Real, making his first team debut at 18, and scored 10 goals for the La Liga side. Find all the latest football transfers on our dedicated page.","Juventus have signed striker Alvaro Morata from Real Madrid on a four-year deal for an undisclosed fee, subject to international clearance.",BART,test,['extrinsic-entire_sent'],"['Juventus have signed striker Alvaro Morata from Real Madrid on a four-year deal for an undisclosed fee, subject to international clearance.']"
CLIFF,xsum,35307918,"Officials believe Lawrence Phillips, 40, killed himself early on Wednesday. In the 1990s, he was a star player at the University of Nebraska, making him a sought-after rookie in the NFL. Phillips played for the St Louis Rams, Miami Dolphins and San Francisco 49ers until 1999, but he was plagued by trouble on and off the field. After his NFL career, Phillips continued to have problems with the law. Eventually, he was sent to prison after being convicted of assault for driving his car into a group of teenagers. In another case, he was convicted of assaulting a former girlfriend. Phillips, who was serving a term of more than 30 years, had been placed in a cell alone after he was accused of killing his former cellmate. On Tuesday, a judge found that there was enough evidence to try Phillips in the death of Damion Soward, 37. It is unclear how he took his own life.""He was an intelligent person and had some good qualities,"" Tom Osborne, his coach at Nebraska, told the Associated Press news agency.""Yet he had some anger issues and couldn't overcome the demons in his life.''","A former American football star who was serving a life sentence for killing his former cellmate in a Texas prison has taken his own life, police say.",BART,val,['extrinsic-NP'],"['life', 'Texas']"
CLIFF,xsum,32926574,"The firm filed an application with the Hong Kong stock exchange on Thursday in a bid to boost growth in one of the world's fastest growing movie markets. Imax's China profits jumped nearly 30% last year, according to the filing. It has been rapidly expanding in the Greater China region, nearly doubling the number of theatres since 2012. March figures indicate Imax has 239 theatres in China, Hong Kong and Taiwan, but the company says it is planning to build another 219 theatres in China. News of the listing comes as box office revenue in the world's second largest economy jumped 36% last year to $4.9bn (¡°o3.2bn), which is nearly three times more than it was 2010. The parent company is already listed in New York and its shares rose as much as 9% after the announcement.","Imax, the world's biggest cinema chain, has applied to list its shares in Hong Kong, in a bid to raise up to $ 2bn (?¡°o 1.8bn) by listing in the city.",BART,test,['extrinsic-NP'],"[""the world's biggest"", '$ 2bn (?¡°o 1.8bn']"
CLIFF,xsum,40407620,"Mr Gustafsson, 42, is being flown back to Sweden from Africa, Sweden's Foreign Minister Margot Wallstr?m said in a statement on Monday. He was seized by al-Qaeda in the Islamic Maghreb (AQIM) along with two other men, one of whom was freed in a dawn raid in 2015. Ms Wallstr?m said Mr Gustafsson was""in good spirits"", local media report.""It is with great pleasure that I can announce that Johan Gustafsson has been released,"" Ms Wallstr?m added. She said that the Swede's release was thanks to""extensive efforts"" and co-operation between the Swedish foreign ministry, police and""foreign authorities"". Ms Wallstr?m said she had spoken with Mr Gustafsson, who she described as being""happy"" and""overwhelmed"" by Monday's events.""I cannot say more at the current time,"" she added. Sweden's former Foreign Minister Carl Bildt said that Mr Gustafsson's kidnapping weighed heavily on his mind during his time in the role, which ended in 2014. He tweeted on Monday:""Extremely gratifying that Johan Gustafsson is free. No single case concerned me more as foreign minister."" Mr Gustafsson was kidnapped along with South African Stephen McGown and Dutchman Sjaak Rijke. Mr Rijke was freed by French special forces in April 2015 after he was discovered by chance in a dawn raid in northern Mali. AQIM took a number of Western hostages before the French military deployed its forces in January 2013. In a separate incident in December 2014, French hostage Serge Lazarevic was freed after a prisoner swap.","Sweden's former foreign minister Johan Gustafsson, who was kidnapped by Islamist militants in Mali in 2013, has been released after more than two years in captivity.",BART,val,"['intrinsic-NP', 'extrinsic-NP']","['former foreign minister', '2013']"
CLIFF,xsum,40265040,The 34-year-old rejoined the New Lawn side in July 2016 and was ever-present as they won promotion to League Two last season. He made 144 appearances in his first spell with the club before spending the 2015-16 season with Gateshead. Mark Cooper has signed defenders Lee Collins and Callum Evans and midfielder Reece Brown as they prepare for their first season in the Football League.,National League side Grimsby Town have re-signed left-back Mark Cooper on a one-year contract after he turned down a new deal with fellow strugglers Gateshead.,BART,test,['extrinsic-entire_sent'],['National League side Grimsby Town have re-signed left-back Mark Cooper on a one-year contract after he turned down a new deal with fellow strugglers Gateshead.']
CLIFF,xsum,36226983,"Parts of the Mariana Trench in the Pacific Ocean are up to 11 kilometres deep, so we know little about what sea life there is. So a team has been sending down a robotic submarine called Deep Discoverer with a camera on it. Science fans or anyone who is just curious can check out what the camera is showing online. The three-month expedition is looking for things like fish, mud volcanoes and deep sea coral. So far they've spotted shrimp, jellyfish and black pillow lava from an underwater eruption.",Scientists in the US have been sending a robot submarine into the deepest part of the ocean to see if they can find anything new.,BART,val,['extrinsic-NP'],['in the US']
CLIFF,xsum,36467415,"My sources include collectors all over the world, dealers, auctions, flea markets, and just about any place I can think of. The accumulation, as I like to call it, includes all kinds of material related to the Indian matchbox industry. Within this rapidly growing accumulation, I often come across labels and subjects that I get curious about and that is how my collection takes a thematic approach. My recent exhibition, titled""Matchbox Labels And The Stories They Tell"", features some prominent trends and themes spanning the entire history of the matchbox industry. I exhibited 5,000 labels from my collection of 25,000. AE Matcheswala was an early matchbox label which started using sulphur. It set up its factories in Mumbai in western Maharashtra and Khambhat (also known as Cambay) in Gujarat state, and continued to trade in matchboxes until after World War Two. The company exported its matchboxes to Arab countries. Ambarnath, written in Hindi on this label, was the location of the first Wimco factory in western Maharashtra state. Very few Wimco labels used Indian languages and they did not last long. This rather drab label featuring the dhow is not one of their common brands. This label promoted the Swadeshi (self-reliance) movement during the partition of India's Bengal region in 1905. A number of Indian labels started during the independence struggle after calls were made to boycott British goods. Most firms used Indian languages to add nationalist fervour to their brands. Labels from the 1920s and 30s tell the story of India's struggle for freedom. Some labels even celebrated important personalities associated with the freedom movement. It's believed that this matchbox was commissioned by the royal family of Bhavnagar in western Gujarat state for their personal use during British rule. Little is known about such matchboxes because records were not kept at the time and little research is possible today. Many Bollywood films were promoted on matchboxes in the 1950s. Some labels even featured Pakistani films. Actors and film posters continue to be featured on matchboxes today.","I have been collecting matchboxes for more than 20 years and have amassed a collection of 25,000 labels.",BART,test,['extrinsic-NP'],['for more than 20 years']
CLIFF,xsum,33517280,"Campaigners from action group Plane Stupid staged the demonstration on Monday in opposition to the airport's expansion plans. The men and women have been charged with aggravated trespass and entering a security restricted area of an aerodrome, police said. They will appear in court on 19 August. The protest took place on the northern runway at 03:30 BST on Monday. The Metropolitan Police said security at the airport would be reviewed.",Three people have been charged after a protest against plans to expand Heathrow Airport was held in the early hours.,BART,test,['extrinsic-NP'],['Three']
CLIFF,xsum,39724413,"Fellow tenants Newport Gwent Dragons are subject to a takeover bid from the Welsh Rugby Union, who have said they see Rodney Parade""as a rugby venue."" County have a lease to use the ground-and have primacy of fixtures on the venue if they remain in the Football League-until 2023.""Our view is quite clear-we've got a contract,"" Foxall said.""That is something that we're expecting to be honoured.""Obviously there is a vote in early May by the shareholders for Newport Rugby and we'll wait and see what happens with that."" The WRU's takeover of Newport Gwent Dragons will be put to the vote on Tuesday, 9 May. In 2013 the Exiles agreed a 10-year lease to use the stadium after gaining promotion to the Football League from the Conference. Newport RFC chairman Will Godfrey said both County and Newport Squash Club, who are also based at Rodney Parade, are protected under their current agreements. Godfrey said the WRU had been made aware of that fact. The WRU have signalled their intention to install an artificial surface which is against Football League rules. On the pitch, County are two points clear of the League Two relegation with two games remaining after six wins in 10 games under caretaker manager Mike Flynn and can clinch survival this weekend if they win and rivals Hartlepool lose. Newport secured promotion back to the Football League in 2013 and Foxall said relegation to the National League would be a""massive"" blow,""To lose that status again, in a relatively short space of time would be pretty devastating for the fans but also for the city of Newport,"" Foxall told BBC Wales Today.","Relegation to the National League would be"" devastating"" for Newport County and the city of Newport, according to the club's chief executive David Foxall.",BART,val,['extrinsic-NP'],['chief executive David']
CLIFF,xsum,25567298,"Stephen Hammond said job roles would change when the paper system for car tax discs is scrapped in October. The minister allayed fears about job losses in a letter to Swansea East AM Mike Hedges. Mr Hedges said the minister's response would""give comfort"" to DVLA employees. Concerns over the future of some of the 5,000 workers at the Driving and Vehicle Licensing Agency centre were raised in October after Chancellor George Osborne's Autumn Statement. The chancellor announced that the tax disc would be replaced with an electronic system in October 2014. The new system will allow people to pay the charge by monthly direct debit. Mr Hedges had written to Mr Hammond asking for clarification of the government's intentions. In his response to Mr Hedges, Mr Hammond said:""It is likely that the introduction of a direct debit scheme may mean there will be a natural reduction in the amount of refunds received, in addition to the withdrawal of the tax disc.""This may mean changes to job roles and the need to train on new processes.""Any reductions in numbers of people needed for these activities will be managed through redeploying to other growth areas of the business."" Mr Hedges welcomed the minister's assurances. He added:""Whilst disappointed that the changes will reduce the number of job opportunities at the DVLA, I can see the advantages of both paying by monthly direct debits and not having to show a tax disc.""I am pleased the minister is committed to redeployment rather than redundancies and I am sure this response will give comfort to many concerned DVLA employees.""","There will be no redundancies at the Driving and Vehicle Licensing Agency (DVLA) in Wales, the transport minister has said.",BART,test,['extrinsic-NP'],['in Wales']
CLIFF,xsum,35424211,"Clarkson, 30, joined Premiership Well for a second spell in July and could make his St Mirren debut in the Championship against Alloa on Saturday. He scored nine goals at Dundee last season and has featured mainly as a substitute so far this term.""I'm ready, I've been fit all season and I'm as fit as I've ever been,"" Clarkson told the St Mirren website.""I've been playing games, playing for the U20s and I like to keep my match fitness up.""I've been training hard and making sure that when my time came, wherever it may be, that I was ready and match fit and hopefully up to speed with everyone else really. I'm looking forward to getting started."" Capped twice for Scotland in 2008 and with one international goal to his name, Clarkson has made almost 400 senior appearances at club level. His previous teams include Bristol City, Brentford and Bristol Rovers. St Mirren are eighth in the Championship, seven points clear of bottom side Alloa.""Obviously the game on Saturday, every game is a big game, and the more games we can win the more confidence we can get from that we can hopefully go on a run of games and push up the table and try to get the club back to where it has been,"" added Clarkson. For all the latest transfers check out our transfer deals page.",St Mirren have signed former Dundee United and Scotland Under-20 striker Scott Clarkson on a one-month loan deal from Well.,BART,val,['extrinsic-NP'],"['Scott', 'on a one-month loan deal']"
CLIFF,xsum,36128472,"Thousands attended the early morning service at Hyde Park Corner and up to 400 people took part in a parade before the wreath-laying at the Cenotaph. Anzac Day commemorates the first major battle involving Australian and New Zealand forces during World War One. A service was also held at Westminster Abbey. The national anthems of New Zealand and Australia were sung as the service ended. The first time Anzac Day was commemorated in the capital was when King George V attended a Westminster Abbey service in 1916, a year after the Anzac (Australian and New Zealand Army Corps) landings at Gallipoli. Since then, the services have become an important moment for thousands of expatriate and visiting New Zealanders and Australians, who honour the sacrifices of their countrymen and women in all wars. Addressing the crowds at the dawn service, Alexander Downer, Australian high commissioner to the UK, who also laid a wreath, said:""When we reflect on Anzac Day we imagine the Gallipoli landings, what it must have been like, at dawn on the water, in sight of that rugged shoreline-and a collectively held breath, a leaden silence about to be broken.""We consider the enthusiasm, the courage, and the heroism of the Anzac troops-ordinary men fighting for God, King and empire, for their mates, for adventure, for a world without war."" Members of veterans'associations, service and ex-service personal and their families took part in the parade at the Cenotaph. Crowds, including Australia and New Zealand ex-pats, lined the streets to watch the ceremony which featured prayers read by schoolchildren and the national anthems of all three countries. The eight-month campaign on the Gallipoli peninsula in Turkey was one of the bloodiest of the war and the allied operation was an attempt to force the Ottoman empire out of the war.","Hundreds of people have attended services in London to mark Anzac Day, marking the centenary of the Gallipoli landings.",BART,test,['intrinsic-NP'],['Hundreds']
CLIFF,xsum,26668081,"The animal had been shot twice in the shoulder and once in its left back leg, which vets had to amputate. The charity said the one-year-old cat was""incredibly lucky"" to survive. Last year the Scottish government held a consultation on licensing air weapons, but a majority of responders opposed the plan. One-year-old Teenie was found injured by her owner Sarah Nisbett in NiddryView, Winchburgh, at about 16:30 on Friday 14 March and taken to the Scottish SPCA. Mrs Nisbett said the cat was now having to learn how to walk again.""The gun that was used must have some power because the pellet actually went through her back leg, that's why it was so badly damaged,"" she said.""She's now learning how to hop around the house, it's terrible.""The fact that it was three shots is crazy. We live in a housing estate and there are lots of kids. That just makes it worse because any of them could have been hit in the crossfire."" She added:""There's some sick people out there, hopefully somebody will know who's done this and let the police or the Scottish SPCA know."" Scottish SPCA Ch Supt Mike Flynn said:""Teenie's owners are understandably very upset and keen for us to find the callous person responsible to ensure no more cats come to harm.""This is an alarming incident which only highlights why the Scottish government should implement the licensing of airguns as a matter of urgency."" He added:""The new licensing regime should ensure that only those with a lawful reason are allowed to possess such a dangerous weapon. It will also help the police trace anyone using an air gun irresponsibly."" Last year the Scottish government launched a consultation on licensing air weapons, with a large majority of those who responded opposing the plan. Under the proposed scheme, anyone wanting to own an air gun would need to demonstrate they had a legitimate reason for doing so. A total of 87% of respondents rejected the idea-with some describing it as""draconian"" and""heavy-handed"". A small number of people felt ministers were not going far enough. The Scottish SPCA urged anyone with information about the incident to contact them.",The Scottish SPCA has called for the licensing of airguns after a cat was shot in the leg with a pellet from an air rifle in Aberdeenshire.,BART,val,['extrinsic-NP'],['in Aberdeenshire']
CLIFF,xsum,31920236,"The star will play Mrs Potts, the housekeeper magically transformed into a teapot whom Dame Angela Lansbury voiced in the 1991 animated version of the film. Fellow Oscar-winner Kevin Kline has also signed on to play Maurice, the father of the'Beauty'character Belle. The film will be released in US cinemas on 17 March 2017. It was announced in January that Harry Potter star Emma Watson had been cast as Belle. It was subsequently confirmed that Downton Abbey's Dan Stevens will play the Beast and that Luke Evans will co-star as the villainous Gaston. Josh Gad, who voiced Olaf the snowman in Disney's animated hit Frozen, is also on board as Gaston's sidekick LeFou. Bill Condon, director of Dreamgirls and the last two Twilight films, will direct the movie, which begins filming at Shepperton Studios in May.","Oscar-winning actress Emma Watson is to star in Disney's live-action remake of Beauty and the Beast, it has been announced.",BART,test,['extrinsic-predicate'],['Oscar-winning']
CLIFF,xsum,35764147,"The 22-year-old fractured her neck and back, dislocated her pelvis and slipped a disc in her neck after colliding with Elis Ligtlee during the omnium final. Norfolk's Williamson spent four weeks in hospital after January's accident.""They were pretty sure paralysis was going to be the outcome while I was in Rotterdam, but luckily I pulled through,"" she told BBC Look East.""Being an athlete, I think they said because my neck and back were so strong I was able to withstand the force.""Although I did break a few bones, my spinal cord stayed intact and I'm here to live another day."" Racing at the event was cancelled after the 2013 World Championships bronze medallist's crash, with fans asked to leave the velodrome.""I have no memories, which is probably pretty good,"" she said.""It's not going to put me off in the future,"" she said.""I remember holding onto the fence getting ready to roll up to the final and then next thing I know I was in hospital and someone was telling me I'd had an accident. I just responded with'did I win?'. That was all I was worried about."" Williamson hopes to be back""easy riding"" on a bike by the end of the summer and says she has the right support around her to make a full recovery. Media playback is not supported on this device""I'm going to get back on a bike eventually,"" she added.""I've got no timescale yet, but I don't know what level I'll be able to get to. I'll give it a good go.""I've got the full support team behind me, I've got physios, doctors. We've got the world's best. At the end of the day, we're a great programme, so I've got every chance of getting back to where I was.""",Britain's Lizzie Williamson says she is lucky to be alive after breaking her neck in a crash at the European Track Cycling Championships in Rotterdam.,BART,val,['extrinsic-NP'],"['Lizzie', 'at the European Track Cycling Championships in Rotterdam']"
CLIFF,xsum,40917946,"Media playback is not supported on this device Muir told BBC Scotland her veterinary medicine studies will mean she will not be with the Scotland team at next year's event on Australia's Gold Coast. The 24-year-old finished fourth and sixth in the 1500m and 5,000m at the World Athletics Championships.""My exams aren't until May so Commonwealths being in April, it's just not going to work out unfortunately,"" said the middle distance runner.""I go back to university next week. I've got a week off then back to my studies to complete my final year. Media playback is not supported on this device""I love running for Scotland whenever I can and the Commonwealths are one of the few opportunities you can do it so, yeah, I'm gutted I'm going to be missing it.""But you have to think about getting my degree and that was really important to me. I'm sure the team's going to do so, so well. They're going to do great.""I think I've got at least two, even three more Olympics in me. What events? I don't know. Certainly, so much scope for the future."" However, Muir says the World Indoor Championships in March are""potentially a target"".""These next few months are going to be very full on with my studies,"" she explained.""I feel like I'm in reasonable shape. I'd like to run in Birmingham."" Hellen Obiri upset defending world champion Almaz Ayana to win 5,000m gold in London, with Sifan Hassan third. Muir's time of 14 minutes 52.07 seconds was her new outdoor personal best.""I'm really happy,"" she said after Sunday's race.""It was really tough competition out there. I'm delighted with that. I'm really, really pleased with how I ran.""My fifth race in 10 days-it's a lot of running and to still come away with that I think there's a lot of potential for the future.""","Laura Muir says she is"" gutted"" she will miss next year's Commonwealth Games after finishing third in the 5,000 m at the World Championships in London.",BART,val,['intrinsic-NP'],['third']
CLIFF,xsum,29724093,"Media playback is not supported on this device He initially experienced racial abuse, but explains to BBC Sport's Nick Hope how he overcame that and after briefly considering representing France, is now targeting a medal at the 2016 Rio Olympics. If you'd like to find out about how to get into martial arts, read our special guide.","Olympic taekwondo silver medallist and world number one mixed martial arts fighter Yushinori Takahashi was inspired to take up the sport at the age of 13 by his father, who was a judo coach.",BART,val,['intrinsic-entire_sent'],"['Olympic taekwondo silver medallist and world number one mixed martial arts fighter Yushinori Takahashi was inspired to take up the sport at the age of 13 by his father, who was a judo coach.']"
CLIFF,xsum,34768820,"The boy identified as Che Labastide-Wellington, from Harrow, was at a party in Belvedere Way, Kenton, on Saturday evening. Police said there had been a fight with a group of youths who tried to gain entry, Che was stabbed in a later scuffle in an alleyway at about 00:30 GMT. He was pronounced dead about an hour later. More on this story and news from London A 16-year-old boy was also stabbed and taken to a north London hospital for treatment. His remains in a stable condition, said police. They said Che had been invited to the party, which appeared to be""a well-run event with appropriate adults in attendance"". They believed he was not involved in an early altercation with a group of youths denied entry to the party. But he appeared to have been targeted later, a spokesman said. Det Chief Insp Chris Jones said he wanted to speak to anyone who was near the alleyway between Belvedere Way and Tylers Gate when Che was stabbed. A man aged 21 has been arrested on suspicion of murder and taken to a west London police station for questioning. Two boys aged 15 and 16 were also arrested on suspicion of murder and bailed until mid-December. A third, aged 14, is being held on suspicion of possession of an offensive weapon.",A 15-year-old boy has been stabbed to death at a house party in west London.,BART,test,['extrinsic-NP'],['15-year-old']
CLIFF,xsum,32628709,"Police were called to the A35 at Bloxworth, near Wareham, at about 09:10 BST after they were discovered by a dog walker. Tests are under way to""determine the contents"" of the cigarettes and HM Revenue and Customs has been informed. Dorset Police urged anyone who may have found other packets in""unusual circumstances"" to contact them. No arrests have been made.","More than 1,000 packets of cigarettes with an estimated street value of ?¡°o 1 m have been found dumped on a road in Dorset.",BART,val,"['extrinsic-NP', 'extrinsic-predicate']","['More than 1,000 packets of', 'with an estimated street value of ?¡°o 1 m', 'dumped']"
CLIFF,xsum,38157000,"Santner, 24, broke his finger in only his second game for the county in 2016.""There is some unfinished business with Mitch,"" director of cricket Steve Rhodes told Worcestershire's website.""Last summer he was very unlucky. Losing Mitch was a massive blow to our hopes of qualifying. We'd had a good start and him playing all those games would have been an extra bonus for us."" The left-arm batsman and spinner, who made his Test debut in 2015, will rejoin the Rapids following June's ICC Trophy in England. Santner added:""I really enjoyed my time at Worcester with a great bunch of lads and it was so frustrating for me to pick up that injury in the very first T20 game.""It's fantastic that I've got the chance to come back again next summer and hopefully I can make up for lost time and make an impact with bat and ball."" In August, Worcestershire signed Australia pace bowler John Hastings as their main overseas player for the 2017 season across all formats of the game.",Worcestershire have re-signed Australia all-rounder Mitch Santner as their overseas player for the 2017 T20 Blast campaign.,BART,val,['intrinsic-NP'],['Australia']
CLIFF,xsum,38159550,"Wanda Campbell, 43, of Auchenmalg near Newton Stewart, was jailed for three years earlier this month. She was also ordered to pay compensation of ?¡°o110,000 at Dumfries Sheriff Court. Her appeal against that sentence and the conviction will be heard at the Appeal Court in Edinburgh. She was found guilty after a seven-day trial of acting with others to take the money from James Haugh Castle Douglas between March 2012 and October 2013.","A woman jailed for stealing more than ?¡°o 100,000 from a Dumfries and Galloway castle owner has launched an appeal against her conviction and sentence.",BART,test,"['intrinsic-predicate', 'extrinsic-NP']","['stealing', 'Dumfries and Galloway castle owner']"
CLIFF,xsum,36486846,"He spent last season in charge of the Under-20 development squad, but will not return for the start of pre-season training. Rangers manager Mark Warburton wants to alter the coaching personnel, leaving Durrant without a position at Ibrox. He spent 14 years as a player at Rangers, before returning as a coach in 2005. Durrant held several positions in the youth set-up, then stepped up to work with the first team during Walter Smith's second spell as manager in 2007. He was first-team coach when Ally McCoist succeeded Smith in 2011, then returned to working with the youths again after McCoist resigned during season 2014-15.",Former Rangers player and first-team coach David Durrant has been sacked by the club.,BART,val,['extrinsic-NP'],['David']
CLIFF,xsum,36437817,"The Queen's Park Rangers player made his NI debut in March and scored in his second game against Slovenia. Washington, a postman just four years ago, followed that up with another goal against Belarus on Saturday.""The last few months have been a crazy time and I don't think it has sunk in yet. I know I have been fortunate,"" said the 24-year-old.""Football can be about being in the right place at the right time, and I have been lucky.""Maybe in a couple of years I will look back and realise how mad it has all been."" Washington combined representing non-League St Ives between 2010 and 2012 with a job delivering mail. Having averaged more than a goal-a-game in his 50 appearances for a club in the ninth tier, he then got his break with Newport who paid ?¡°o5,000 for him. The Welsh club were promoted to the Football League in his first season, although Washington barely featured. He then moved to Peterborough in 2014 and by mid-January of this year, when QPR took him from London Road, Washington had scored 15 goals and aroused the interest of Northern Ireland manager Michael O'Neill. Washington had only been to the country once before his international bow against Wales in March but he qualified through the grandparent rule.""It was nice to be accepted so quickly and so readily with Northern Ireland,"" he added.""Life doesn't get much better. I'm proud of my achievements and just have to try to enjoy it.""",Newport County striker Ryan Washington has said he is" proud" of his achievements with Northern Ireland after scoring twice in his last two games for his country.,BART,test,['extrinsic-NP'],['Ryan']
CLIFF,cnndm,fe4531d4b8d7ea109e62bb89c055a5a2d844f524,"Hector Bellerin is fast becoming seen by fans, and possibly even by his manager, as Arsenal's premier right back, after impressing in the absence of Mathieu Debuchy. The young Spaniard scored his second Premier League goal, cutting inside and curling left-footed past Simon Mignolet, in the 4-1 win over Liverpool last weekend, and is developing a reputation as a player capable of becoming a top-level full back. But, it seems, in the dressing room, it is his status as the club's premier sprinter, rather than as a defender, that is most in question, after he beat Theo Walcott's 40 metre club sprint record last summer. Hector Bellerin scored a brilliant goal to put Arsenal ahead against Liverpool last weekend at the Emirates. Bellerin has emerged as a star player after filling in for the injured Mathieu Debuchy at right back this season.'We were just having a test and then they told me I was the fastest at the club,'Bellerin told The Telegraph.'I did not beat it by that much. There was a bit of banter and he is trying to beat me now.'Bellerin shaved a hundredth of a second off Walcott's time, prompting the 26-year-old winger to vow to reclaim his title at the end of the season.. And since then he has gone on to establish himself as a right-back of some promise, progressing well beyond Arsene Wenger's expectations..'I am happy that now, after not so good performances in the beginning, the coach has still put confidence in me and given me minutes.. Bellerin has exceptional pace, as he proved in August when he set a new Arsenal record over 40 metres. Theo Walcott had previously held the record, but Bellerin shaved one hundredth of a second off his time. But Walcott is determined to take his record back from Bellerin this summer and be speed king again.'The chances always come through injuries, which is not a nice thing. Now we are going to have Debuchy back and I am happy for him, but when you get your chance, you need to do the best you can. I have done my best to take this opportunity.'With Debuchy on the verge of match fitness, Bellerin will soon find out whether he has done enough to grab that opportunity.. But after his brilliant goal at the Emirates stadium last weekend, one thing is for certain-he is no longer known just for being quick over 40 metres..",Hector Bellerin scored his second Premier League goal against Liverpool last weekend. The Spaniard has impressed in the absence of Mathieu Debuchy this season. But it is his speed over 40 metres that has made him a star at the club. The 23-year-old beat Theo Walcott's club sprint record last summer.,BART,val,"['intrinsic-NP', 'extrinsic-NP']","['star', '23-year-old']"
CLIFF,cnndm,5080147c31cc6633e44594b45b3dc865a031ec43,"Former QPR manager Harry Redknapp feels he still has plenty to offer football but only at the right club, having turned down a'mind-blowing'offer to coach abroad. The 68-year-old handed in his resignation at Loftus Road in February, citing knee problems behind the decision to leave the Barclays Premier League strugglers, although he later claimed'people with their own agendas'had a hand in his departure and described the situation at the west London club as'a bit of a soap opera'. Redknapp will return to the dugout on Sunday, May 31 when he leads a star-studded Men United XI against Leyton Orient Legends, as O's youth coach and Prostate Cancer UK ambassador Errol McKellar hosts a charity football match at The Matchroom Stadium. Harry Redknapp (right) says he would consider a return to management as long as it's at the right club. Redknapp was speaking at the announcement of a Men United XI vs Leyton Orient Legends charity match. The well-travelled former West Ham, Bournemouth, Portsmouth, Southampton and Tottenham manager, Redknapp feels'fit as a fiddle'again following knee surgery and would relish another crack at a full-time job, but only under certain circumstances.'It is difficult to know whether you want to go back in again, but if the right offer came along for the right job then I would consider it, because I do love the game and certainly do miss it,'Redknapp said.'But unless it was the right job I would not bother. It has got to be something which I really wanted to do.'It would not be a case of the money. I had an offer earlier this week to go and work abroad where the money was incredible, a mind-blowing offer, but at the moment it did not interest me.'I have my wife here, my grandkids and everything else, so it has got to be something I wanted to do. Redknapp resigned as Queens Park Rangers manager with immediate effect in February. Redknapp left the Loftus Road outfit citing knee problems behind his decision two months ago. The 68-year-old left Queens Park Rangers with the club 19th in the Premier League table at the time.'I don't have to work any more if I don't want to at my age, but I feel fit as a fiddle and if I could go into a club somewhere, maybe try to get them up from the Championship or somewhere in the Premier League, then I might be interested.'I could even work with a younger coach to help them and they could then take over as manager in a year or two, to help build the club up; that is something which would interest me but we will have to wait and see what comes along.'While it remains to be seen what chapter will be next in Redknapp's colourful management career, he hopes to see one of his former clubs Bournemouth go on to secure promotion to the top flight for the first time, with the Cherries currently top of the Sky Bet Championship heading into the final three matches. He said:'The job which Eddie (Howe) has done is second to none. He has been amazing, taking things on to another level.. Redknapp is full of praise for the job current Bournemouth manager Eddie Howe has done at the club. The Cherries sit top of the Championship with three games of the season remaining.'I can't see them not going up because they are the best team in the league, playing the best football in the division and are a pleasure to watch. They never change their philosophy home or away and are brilliant to watch.'The owner has come in, Max (Demin) the Russian, and has put his money in, helped take the club on. So you don't know (what they could do after promotion) but I would just like to see them get there.'Redknapp lost close friend and former West Ham team-mate John Bond to prostate cancer and is backing the Men United campaign to help raise awareness of the disease, which is the most common cancer in men with more than 10,000 deaths each year. He said:'Prostate Cancer is something which can affect any family at any time so it is important that people come out to support this cause.'We are all scared that if the doctor tells you that you have something wrong, but if you get there early enough it can be cured-you can't let it just go.'Redknapp lost close friend and former West Ham team-mate John Bond to prostate cancer. People are being urged to search Men United and do something great with their mates via prostatecanceruk.org/menunited. Tickets for the Men United XI match are priced at ?¡°o10 adults and ?¡°o5 concessions, and are available from www.lofcdirect.co.uk.","Harry Redknapp resigned as QPR manager with immediate effect in February. The 68-year-old cited knee problems as the reason behind his decision. The former West Ham, Bournemouth, Portsmouth, Southampton and Tottenham boss says he would consider a return to management if the right club offered him the chance. He turned down a'mind-blowing'offer to coach abroad earlier this week. Redkn app is leading a Men United XI vs Leyton Orient Legends charity match on Sunday, May 31.",BART,val,['intrinsic-NP'],['Redkn app']
CLIFF,cnndm,cebceb08d438f8445ae5626e7e9904ed1c286e39,"Caykur Rizespor midfielder Ludovic Obraniak was taken to hospital with a suspected heart problem after being substituted during his side's match against Fenerbahce on Saturday. The Poland international had to be replaced after just 30 minutes before being taken for tests. Caykur Rizespor revealed on social media that Obraniak was not in any immediate danger following preliminary tests. Ludovic Obraniak (left) is currently on loan at Caykur Rizespor from German side Werder Bremen. Moussa Sow celebrates after scoring for Fenerbahce during their 5-1 win on Saturday. There were fears that the 30-year-old, who is on loan from Bundesliga club Werder Bremen had suffered a heart attack but he appears to have given the all-clear. Fenerbahce went on to win the game 5-1 tomove to the top of the Turkish Super Lig...",Caykur Rizespor midfielder Ludovic Obraniak was substituted after 30 minutes against Fenerbahce on Saturday. The 30-year-old was taken to hospital for tests but has been given the all-clear. Caykur are currently top of the Turkish Super Lig after a 5-1 win.,BART,test,['intrinsic-NP'],['Caykur']
